Identity	Positive PMI
53	seniors	1.015986
42	jewish	0.741682
37	european	0.677630
32	asians	0.663759
41	canadian	0.635155
36	brother	0.589267
25	daughter	0.548175
45	korean	0.539303
18	mother	0.534902
19	indian	0.503767
28	japanese	0.483248
22	father	0.480345
51	irish	0.440678
20	chinese	0.432720
23	son	0.411829
9	girls	0.397354
10	asian	0.392683
43	sister	0.381681
31	hispanic	0.371754
33	mexican	0.344931
2	young	0.336134
30	straight	0.323088
8	women	0.299952
14	female	0.259997
5	girl	0.251995
47	africans	0.221516
54	latino	0.126804
11	boys	0.126615
17	african	0.061049
7	boy	0.055462
1	woman	0.024806
16	american	0.013807
49	gay	-0.070539
40	spanish	-0.109229
39	senior	-0.133899
13	male	-0.138315
48	buddhist	-0.146163
6	men	-0.173311
0	man	-0.195632
34	french	-0.199470
52	christian	-0.236521
3	white	-0.270088
12	old	-0.275358
21	teenage	-0.277718
46	italian	-0.279288
24	teenagers	-0.286509
35	british	-0.319992
15	elderly	-0.453364
27	teenager	-0.482994
26	caucasian	-0.487087
44	polish	-0.497796
38	muslim	-0.503699
4	black	-0.556040
29	german	-0.775451
50	handicapped	-0.950954
55	israeli	-1.421646



